onset	duration	contrast	orientation	run
0.200038156489609	1.99952193223871	0.3	0.34907	1
2.59946447517606	1.99952193223871	0.3	0.34907	1
13.400435765204	1.99952193223871	0.8	2.4435	1
15.7998620838905	1.99952193223871	0.8	2.4435	1
20.0006196975184	1.99952193223871	0.8	1.7453	1
22.4000460162049	1.99952193223871	0.8	1.7453	1
33.2003151666315	1.99952193223871	0.8	1.0472	1
35.5997414853179	1.99952193223871	0.8	1.0472	1
39.8009647884639	1.99952193223871	0.3	1.3963	1
42.2003911071504	1.99952193223871	0.3	1.3963	1
46.4005252977542	1.99952193223871	0.3	0.69813	1
48.7999516164407	1.99952193223871	0.3	0.69813	1
59.6002484077937	1.99952193223871	0.3	2.0944	1
61.9996747264802	1.99952193223871	0.3	2.0944	1
66.2005179668951	1.99952193223871	0.8	1.3963	1
68.5999442855816	1.99952193223871	0.8	1.3963	1
79.4002215480316	1.99952193223871	0.8	1.3963	1
81.799647866718	1.99952193223871	0.8	1.3963	1
92.6002042424108	1.99952193223871	0.8	1.7453	1
94.9996305610973	1.99952193223871	0.8	1.7453	1
99.2004602815025	1.99952193223871	0.8	0.34907	1
101.599886600189	1.99952193223871	0.8	0.34907	1
105.800549874129	1.99952193223871	0.3	1.7453	1
108.199976192815	1.99952193223871	0.3	1.7453	1
119.000291912194	1.99952193223871	0.8	0.34907	1
121.39971823088	1.99952193223871	0.8	0.34907	1
125.600503485464	1.99952193223871	0.8	2.7925	1
127.99992980415	1.99952193223871	0.8	2.7925	1
132.200559728738	1.99952193223871	0.3	1.0472	1
134.599986047425	1.99952193223871	0.3	1.0472	1
138.800449225109	1.99952193223871	0.3	1.3963	1
141.199875543795	1.99952193223871	0.3	1.3963	1
145.400442675414	1.99952193223871	0.3	0.34907	1
147.7998689941	1.99952193223871	0.3	0.34907	1
152.000490506255	1.99952193223871	0.3	0	1
154.399916824942	1.99952193223871	0.3	0	1
158.600515803689	1.99952193223871	0.3	1.0472	1
160.999942122375	1.99952193223871	0.3	1.0472	1
165.200476805959	1.99952193223871	0.3	1.7453	1
167.599903124645	1.99952193223871	0.3	1.7453	1
171.800462745148	1.99952193223871	0.3	0	1
174.199889063834	1.99952193223871	0.3	0	1
178.400468513678	1.99952193223871	0.8	1.0472	1
180.799894832364	1.99952193223871	0.8	1.0472	1
185.000465268869	1.99952193223871	0.3	2.7925	1
187.399891587555	1.99952193223871	0.3	2.7925	1
191.600536834844	1.99952193223871	0.8	0.69813	1
193.999963153531	1.99952193223871	0.8	0.69813	1
204.800252433738	1.99952193223871	0.8	0.69813	1
207.199678752425	1.99952193223871	0.8	0.69813	1
211.400538817764	1.99952193223871	0.8	0	1
213.79996513645	1.99952193223871	0.8	0	1
218.000480291102	1.99952193223871	0.8	2.4435	1
220.399906609788	1.99952193223871	0.8	2.4435	1
224.600528121943	1.99952193223871	0.3	0.69813	1
226.99995444063	1.99952193223871	0.3	0.69813	1
237.800224792812	1.99952193223871	0.8	2.7925	1
240.199651111498	1.99952193223871	0.8	2.7925	1
244.400517185731	1.99952193223871	0.3	2.0944	1
246.799943504417	1.99952193223871	0.3	2.0944	1
251.000524156075	1.99952193223871	0.3	2.4435	1
253.399950474761	1.99952193223871	0.3	2.4435	1
257.600467432075	1.99952193223871	0.8	2.0944	1
259.999893750761	1.99952193223871	0.8	2.0944	1
264.200576553633	1.99952193223871	0.3	2.7925	1
266.60000287232	1.99952193223871	0.3	2.7925	1
270.800440812676	1.99952193223871	0.8	0	1
273.199867131362	1.99952193223871	0.8	0	1
277.400525598193	1.99952193223871	0.8	2.0944	1
279.79995191688	1.99952193223871	0.8	2.0944	1
284.0004760849	1.99952193223871	0.3	2.4435	1
286.399902403586	1.99952193223871	0.3	2.4435	1
