onset	duration	orientation	contrast	side	trial	subject
2.1	0.4	n/a	n/a	middle	1	4
3.6	4.5	0	0.2	right	1	4
4.3	4.5	60	0.2	left	1	4
5.4	0.4	n/a	n/a	middle	2	4
10.2	0.4	n/a	n/a	middle	3	4
12.5	4.5	15	0.2	right	2	4
13.6	0.4	n/a	n/a	middle	4	4
13.8	4.5	45	0.8	left	2	4
16.2	0.4	n/a	n/a	middle	5	4
20.1	0.4	n/a	n/a	middle	6	4
21.8	4.5	60	0.8	right	3	4
22.7	4.5	120	0.2	left	3	4
23.6	0.4	n/a	n/a	middle	7	4
28.2	0.4	n/a	n/a	middle	8	4
30.8	4.5	60	0.2	left	4	4
31.2	4.5	60	0.2	right	4	4
32.2	0.4	n/a	n/a	middle	9	4
37	0.4	n/a	n/a	middle	10	4
38.8	4.5	150	0.2	right	5	4
39.4	4.5	0	0.2	left	5	4
41.9	0.4	n/a	n/a	middle	11	4
44.8	0.4	n/a	n/a	middle	12	4
46.9	4.5	90	0.8	left	6	4
47.3	4.5	165	0.8	right	6	4
47.5	0.4	n/a	n/a	middle	13	4
52.4	0.4	n/a	n/a	middle	14	4
55	4.5	150	0.8	right	7	4
56.2	4.5	30	0.8	left	7	4
56.7	0.4	n/a	n/a	middle	15	4
59.1	0.4	n/a	n/a	middle	16	4
63	4.5	120	0.8	right	8	4
64.2	0.4	n/a	n/a	middle	17	4
64.5	4.5	60	0.8	left	8	4
68.1	0.4	n/a	n/a	middle	18	4
72.1	0.4	n/a	n/a	middle	19	4
72.3	4.5	15	0.8	right	9	4
72.6	4.5	120	0.2	left	9	4
76.3	0.4	n/a	n/a	middle	20	4
80.2	4.5	105	0.2	right	10	4
81	0.4	n/a	n/a	middle	21	4
82	4.5	75	0.8	left	10	4
86	0.4	n/a	n/a	middle	22	4
87.9	4.5	90	0.8	right	11	4
89.5	0.4	n/a	n/a	middle	23	4
90.4	4.5	0	0.2	left	11	4
92.1	0.4	n/a	n/a	middle	24	4
96.5	4.5	120	0.2	right	12	4
96.7	0.4	n/a	n/a	middle	25	4
98.5	4.5	165	0.8	left	12	4
100.1	0.4	n/a	n/a	middle	26	4
104.6	4.5	60	0.8	right	13	4
105.1	0.4	n/a	n/a	middle	27	4
106.1	4.5	75	0.8	left	13	4
108.6	0.4	n/a	n/a	middle	28	4
112.9	4.5	45	0.8	right	14	4
113.5	0.4	n/a	n/a	middle	29	4
114.8	4.5	30	0.2	left	14	4
116.4	0.4	n/a	n/a	middle	30	4
119.2	0.4	n/a	n/a	middle	31	4
122	4.5	135	0.2	right	15	4
122.6	4.5	135	0.2	left	15	4
124.3	0.4	n/a	n/a	middle	32	4
126.8	0.4	n/a	n/a	middle	33	4
130.2	4.5	105	0.8	left	16	4
131.2	4.5	90	0.2	right	16	4
131.3	0.4	n/a	n/a	middle	34	4
135.9	0.4	n/a	n/a	middle	35	4
138.9	4.5	165	0.2	left	17	4
139.6	0.4	n/a	n/a	middle	36	4
140.1	4.5	135	0.2	right	17	4
143.1	0.4	n/a	n/a	middle	37	4
147	4.5	135	0.8	left	18	4
148.4	4.5	75	0.8	right	18	4
148.5	0.4	n/a	n/a	middle	38	4
152.1	0.4	n/a	n/a	middle	39	4
155.2	4.5	90	0.2	left	19	4
155.8	0.4	n/a	n/a	middle	40	4
157.2	4.5	30	0.2	right	19	4
158.6	0.4	n/a	n/a	middle	41	4
162	0.4	n/a	n/a	middle	42	4
164.2	4.5	75	0.2	left	20	4
