onset	duration	trial	trial_type	side	orientation	contrast	subject	run
0	NaN	1	grating	left	60	0.2	5	0
NaN	NaN	2	grating	left	150	0.8	5	0
NaN	NaN	3	grating	left	45	0.2	5	0
NaN	NaN	4	grating	left	105	0.8	5	0
NaN	NaN	5	grating	left	60	0.8	5	0
NaN	NaN	6	grating	left	135	0.8	5	0
NaN	NaN	7	grating	left	135	0.2	5	0
NaN	NaN	8	grating	left	120	0.2	5	0
NaN	NaN	9	grating	left	105	0.2	5	0
NaN	NaN	10	grating	left	30	0.2	5	0
NaN	NaN	11	grating	left	120	0.2	5	0
NaN	NaN	12	grating	left	30	0.8	5	0
NaN	NaN	13	grating	left	75	0.2	5	0
NaN	NaN	14	grating	left	165	0.2	5	0
NaN	NaN	15	grating	left	105	0.8	5	0
NaN	NaN	16	grating	left	45	0.8	5	0
NaN	NaN	17	grating	left	0	0.2	5	0
NaN	NaN	18	grating	left	15	0.2	5	0
NaN	NaN	19	grating	left	90	0.8	5	0
NaN	NaN	20	grating	left	30	0.2	5	0
NaN	NaN	21	grating	left	45	0.8	5	0
NaN	NaN	22	grating	left	15	0.2	5	0
NaN	NaN	23	grating	left	120	0.8	5	0
NaN	NaN	24	grating	left	150	0.2	5	0
NaN	NaN	25	grating	left	135	0.8	5	0
NaN	NaN	26	grating	left	135	0.2	5	0
NaN	NaN	27	grating	left	120	0.8	5	0
NaN	NaN	28	grating	left	90	0.8	5	0
NaN	NaN	29	grating	left	165	0.8	5	0
NaN	NaN	30	grating	left	105	0.2	5	0
NaN	NaN	31	grating	left	90	0.2	5	0
NaN	NaN	32	grating	left	0	0.2	5	0
NaN	NaN	33	grating	left	45	0.2	5	0
NaN	NaN	34	grating	left	15	0.8	5	0
NaN	NaN	35	grating	left	75	0.8	5	0
NaN	NaN	36	grating	left	60	0.8	5	0
NaN	NaN	37	grating	left	150	0.8	5	0
NaN	NaN	38	grating	left	165	0.2	5	0
NaN	NaN	39	grating	left	15	0.8	5	0
NaN	NaN	40	grating	left	75	0.2	5	0
NaN	NaN	41	grating	left	75	0.8	5	0
NaN	NaN	42	grating	left	150	0.2	5	0
NaN	NaN	43	grating	left	165	0.8	5	0
NaN	NaN	44	grating	left	0	0.2	5	0
NaN	NaN	45	grating	left	0	0.2	5	0
NaN	NaN	46	grating	left	90	0.2	5	0
NaN	NaN	47	grating	left	30	0.8	5	0
NaN	NaN	48	grating	left	60	0.2	5	0
0	NaN	1	grating	right	0	0.2	5	0
NaN	NaN	2	grating	right	60	0.8	5	0
NaN	NaN	3	grating	right	15	0.2	5	0
NaN	NaN	4	grating	right	165	0.2	5	0
NaN	NaN	5	grating	right	75	0.8	5	0
NaN	NaN	6	grating	right	135	0.2	5	0
NaN	NaN	7	grating	right	90	0.2	5	0
NaN	NaN	8	grating	right	15	0.8	5	0
NaN	NaN	9	grating	right	90	0.8	5	0
NaN	NaN	10	grating	right	0	0.2	5	0
NaN	NaN	11	grating	right	45	0.8	5	0
NaN	NaN	12	grating	right	90	0.2	5	0
NaN	NaN	13	grating	right	105	0.8	5	0
NaN	NaN	14	grating	right	150	0.2	5	0
NaN	NaN	15	grating	right	165	0.8	5	0
NaN	NaN	16	grating	right	105	0.2	5	0
NaN	NaN	17	grating	right	60	0.2	5	0
NaN	NaN	18	grating	right	30	0.2	5	0
NaN	NaN	19	grating	right	75	0.8	5	0
NaN	NaN	20	grating	right	75	0.2	5	0
NaN	NaN	21	grating	right	105	0.8	5	0
NaN	NaN	22	grating	right	30	0.8	5	0
NaN	NaN	23	grating	right	30	0.8	5	0
NaN	NaN	24	grating	right	90	0.8	5	0
NaN	NaN	25	grating	right	120	0.2	5	0
NaN	NaN	26	grating	right	165	0.2	5	0
NaN	NaN	27	grating	right	120	0.8	5	0
