onset	duration	orientation	contrast	side	trial	subject
0	5.4375	150	0.8	left	1	5
0	5.4375	75	0.2	right	1	5
3.95018638974224	0.4	n/a	n/a	middle	1	5
7.53482649081312	0.4	n/a	n/a	middle	2	5
8.50113235456879	5.4375	15	0.2	right	2	5
8.50132977647374	5.4375	150	0.8	left	2	5
11.5633370667067	0.4	n/a	n/a	middle	3	5
15.1835705292735	0.4	n/a	n/a	middle	4	5
17.0026314520322	5.4375	0	0.2	right	3	5
17.0026596951373	5.4375	150	0.8	left	3	5
18.5939930207755	0.4	n/a	n/a	middle	5	5
22.495471402051	0.4	n/a	n/a	middle	6	5
25.5039985130625	5.4375	45	0.8	left	4	5
25.5041363066165	5.4375	45	0.8	right	4	5
26.2894851930028	0.4	n/a	n/a	middle	7	5
30.5380052892321	0.4	n/a	n/a	middle	8	5
34.0048029376701	5.4375	120	0.2	right	5	5
34.0053183240279	5.4375	0	0.2	left	5	5
34.7737436070078	0.4	n/a	n/a	middle	9	5
38.239812782936	0.4	n/a	n/a	middle	10	5
42.3674418826098	0.4	n/a	n/a	middle	11	5
42.5060849289918	5.4375	75	0.8	right	6	5
42.5066443775757	5.4375	90	0.8	left	6	5
46.5508359262215	0.4	n/a	n/a	middle	12	5
50.3186154389411	0.4	n/a	n/a	middle	13	5
51.0079407954133	5.4375	90	0.8	right	7	5
51.0079787502923	5.4375	150	0.2	left	7	5
54.6971907479229	0.4	n/a	n/a	middle	14	5
58.180815323704	0.4	n/a	n/a	middle	15	5
59.508970014446	5.4375	60	0.8	right	8	5
59.5093111049667	5.4375	75	0.2	left	8	5
62.4558027646649	0.4	n/a	n/a	middle	16	5
65.9683954155094	0.4	n/a	n/a	middle	17	5
68.0105667936906	5.4375	105	0.2	right	9	5
68.0106265206308	5.4375	150	0.2	left	9	5
69.5735578361132	0.4	n/a	n/a	middle	18	5
73.0257089486736	0.4	n/a	n/a	middle	19	5
76.5108791441736	5.4375	135	0.2	right	10	5
76.5119793900212	5.4375	90	0.8	left	10	5
76.9944973488279	0.4	n/a	n/a	middle	20	5
80.7234082413185	0.4	n/a	n/a	middle	21	5
84.3427436034091	0.4	n/a	n/a	middle	22	5
85.0121319647985	5.4375	120	0.8	right	11	5
85.0132972498737	5.4375	75	0.8	left	11	5
88.4309496329761	0.4	n/a	n/a	middle	23	5
92.0695578841252	0.4	n/a	n/a	middle	24	5
93.5146585008859	5.4375	30	0.8	left	12	5
93.5146767568967	5.4375	0	0.2	right	12	5
96.3773554734854	0.4	n/a	n/a	middle	25	5
100.197722039827	0.4	n/a	n/a	middle	26	5
102.015931306805	5.4375	150	0.2	right	13	5
102.015961321457	5.4375	60	0.2	left	13	5
104.058531867047	0.4	n/a	n/a	middle	27	5
108.238788917112	0.4	n/a	n/a	middle	28	5
110.51563784854	5.4375	135	0.8	right	14	5
110.517284446016	5.4375	105	0.2	left	14	5
111.868537277012	0.4	n/a	n/a	middle	29	5
115.564364602042	0.4	n/a	n/a	middle	30	5
119.018616680073	5.4375	45	0.2	left	15	5
119.022791823046	5.4375	45	0.8	right	15	5
119.659004501504	0.4	n/a	n/a	middle	31	5
123.792565769122	0.4	n/a	n/a	middle	32	5
127.519945525869	5.4375	15	0.2	left	16	5
127.520111636445	5.4375	165	0.2	right	16	5
127.696487472052	0.4	n/a	n/a	middle	33	5
131.248129037243	0.4	n/a	n/a	middle	34	5
135.306354947522	0.4	n/a	n/a	middle	35	5
136.018434236317	5.4375	15	0.8	right	17	5
136.0212769211	5.4375	15	0.8	left	17	5
139.529505992592	0.4	n/a	n/a	middle	36	5
143.464697609626	0.4	n/a	n/a	middle	37	5
144.522573023982	5.4375	75	0.2	left	18	5
144.525631805829	5.4375	135	0.8	right	18	5
147.016736868557	0.4	n/a	n/a	middle	38	5
151.033655969098	0.4	n/a	n/a	middle	39	5
153.023215509138	5.4375	120	0.2	right	19	5
153.023937499623	5.4375	150	0.8	left	19	5
155.03453420206	0.4	n/a	n/a	middle	40	5
159.097048314429	0.4	n/a	n/a	middle	41	5
161.525265927862	5.4375	30	0.2	left	20	5
161.525300072136	5.4375	45	0.2	right	20	5
163.033892218521	0.4	n/a	n/a	middle	42	5
167.34191163726	0.4	n/a	n/a	middle	43	5
170.023948942053	5.4375	150	0.2	right	21	5
170.026595573924	5.4375	0	0.2	left	21	5
171.462991288602	0.4	n/a	n/a	middle	44	5
174.895775880205	0.4	n/a	n/a	middle	45	5
178.527455207762	5.4375	135	0.8	right	22	5
178.527916871726	5.4375	0	0.2	left	22	5
178.66565457889	0.4	n/a	n/a	middle	46	5
182.611224960642	0.4	n/a	n/a	middle	47	5
186.393193958472	0.4	n/a	n/a	middle	48	5
187.029256955363	5.4375	0	0.2	left	23	5
187.030171850295	5.4375	0	0.2	right	23	5
190.040485563655	0.4	n/a	n/a	middle	49	5
193.445529854107	0.4	n/a	n/a	middle	50	5
195.529683246316	5.4375	45	0.2	right	24	5
195.53058533481	5.4375	105	0.2	left	24	5
197.483027188404	0.4	n/a	n/a	middle	51	5
201.494063693502	0.4	n/a	n/a	middle	52	5
204.031953026191	5.4375	90	0.2	right	25	5
204.032016564983	5.4375	90	0.8	left	25	5
205.018428412179	0.4	n/a	n/a	middle	53	5
209.231761399955	0.4	n/a	n/a	middle	54	5
212.533194737276	5.4375	75	0.2	left	26	5
212.53348738425	5.4375	105	0.8	right	26	5
213.353241847429	0.4	n/a	n/a	middle	55	5
217.406030162281	0.4	n/a	n/a	middle	56	5
221.034578636194	5.4375	120	0.2	left	27	5
221.039841907265	5.4375	90	0.2	right	27	5
221.694586855168	0.4	n/a	n/a	middle	57	5
225.728033469262	0.4	n/a	n/a	middle	58	5
229.535564450708	5.4375	150	0.8	right	28	5
229.535900623799	5.4375	60	0.2	left	28	5
