low_0,low_0_34907,low_0_69813,low_1_0472,low_1_3963,low_1_7453,low_2_0944,low_2_4435,low_2_7925,high_0,high_0_34907,high_0_69813,high_1_0472,high_1_3963,high_1_7453,high_2_0944,high_2_4435,high_2_7925
0,0.664756141424203,0,0,0,0,0,0.101635340729919,0,0,0,-0.000692423991974162,0,0,0,0,-0.0130382657723135,0
0.00331800415886477,0.722386226592195,0,0,0,0,0,0.00276388696795843,0,0,0,-0.000268306274636103,0,0,0,0,-0.00741791659932494,0
0.0842557492701981,0.570951170411997,0,0,0,0,0,-0.0491222863179454,0,0,0,-4.75244819223497e-05,0,0,0,0,-0.00400005319079731,0
0.312644611104686,0.347966091851093,0,0,0,0,0,-0.0692386769093932,0,0,0,0,0,0,0,0,-0.00205613728393934,0
0.585612337017311,0.160814064570363,0,0,0,0,0,-0.0693558570202038,0,0,0,0,0,0,0,0,-0.000993423769574783,0
0.73640838977176,0.0376166853537252,0.000213827593771552,0,0,0,0,-0.0587064996426026,0,0,0,0,0,0,0,0,-0.000396381294418602,0
0.652627109313647,-0.0317491421149918,0.0357369687089377,0,0,0,0,-0.0442380665384467,0,0,0,0,0,0,0,0,-0.000123848684389055,0
0.437307523384083,-0.0634847256041067,0.21354632585458,0,0,0,0,-0.0304056388924565,0,0,0,0,0,0,0,0,0,0
0.227491146424491,-0.0707382396338662,0.476133701563883,0,0,0,0,-0.0193440605314197,0,0,0,0,0,0,0,0,0,0
0.0787290555835302,-0.0636919174760177,0.693793192666103,0,0,0,0,-0.0115110070125435,0,0,1.86271375694624e-07,0,0,0,0,0,0,0
-0.0100359872034011,-0.0502314833373832,0.706681931658113,0,0,0,0,-0.00645905425460521,0,0,0.0105005826986701,0,0,0,0,0,0,0
-0.0549169488633975,-0.0358333559617436,0.530157165498386,0,0,0,0,-0.00344012366012433,0,0,0.129815101705333,0,0,0,0,0,0,0
-0.0704754884453782,-0.0235335503747665,0.308397868900546,0,0,0,0,-0.0017487011004473,0,0,0.37536447923917,0,0,0,0,0,0,0
-0.0679371048485408,-0.0143986566200008,0.132897935722604,0,0,0,0,-0.00081710260267843,0,0,0.628753716811058,0,0,0,0,0,0,0
-0.0561155809498235,-0.00828062526171183,0.0210183310628409,0,0,0,0,-0.000309744993260194,0,0,0.730194437841596,0,0.00104189484622119,0,0,0,0,0
-0.0415028431713479,-0.00450826561865713,-0.0401195299389911,0,0,0,0,-7.70896718298918e-05,0,0,0.609406659615692,0,0.0568771489311905,0,0,0,0,0
-0.0280885679472194,-0.00233735790567103,-0.0663690808051815,0,0,0,0,0,0,0,0.389047099868096,0,0.262549022452663,0,0,0,0,0
-0.0176348889204791,-0.00115977635323048,-0.070237699559252,0,0,0,0,0,0,0,0.191077245498544,0,0.537490527808532,0,0,0,0,0
-0.0103731484778441,-0.00047842960779457,-0.0614571360441259,0,0,0,0,0,0,0,0.0561150779449162,0,0.725924454663777,0,0,0,0,0
-0.00576126165564106,-0.000165323456913167,-0.0474798207273446,0,0,0,0,0,0,0,-0.0220672535513174,0,0.683293775178771,0,0,0,0,0
-0.00304056031595074,0,-0.0333124587005934,0,0,0,0,0,0,0,-0.0597478042231568,0,0.480391409597307,0,0,0,0,0
-0.00153295959024241,0,-0.0215722211525314,0,0,0,0,0,0,0,-0.0707421595510201,0,0.262769666189977,0,0,0,0,0
-0.000692423991974162,0,-0.0130382657723135,0,0,0,0,0,0,0,-0.0657080979307473,0,0.101635340729919,0,0,0,0,0
-0.000268306274636103,0,-0.00741791659932494,0,0,0,0,0,0,0,-0.0529573089474378,0,0.00276388696795843,0,0,0.00331800415886477,0,0
-4.75244819223497e-05,0,-0.00400005319079731,0,0,0,0,0,0,0,-0.0384336990061353,0,-0.0491222863179454,0,0,0.0842557492701981,0,0
0,0,-0.00205613728393934,0,0,0,0,0,0,0,-0.0256095422851019,0,-0.0692386769093932,0,0,0.312644611104686,0,0
0,0,-0.000993423769574783,0,0,0,0,0,0,0,-0.0158664860354035,0,-0.0693558570202038,0,0,0.585612337017311,0,0
0,0,-0.000396381294418602,0,0,0,0,0,0,0,-0.00922591091440083,0,-0.0587064996426026,0,0,0.73640838977176,0,0
0,0,-0.000123848684389055,0,0,0,0,0,0,0,-0.00507233525680903,0,-0.0442380665384467,0,0,0.652627109313647,0,0
0,0,0,0,0,0,0,0,0,0,-0.00265294895991588,0,-0.0304056388924565,0,0,0.437307523384083,0,0
0,0,0,0,0,0,0,0,0,0,-0.00132679400558384,0,-0.0193440605314197,0,0,0.227491146424491,0,0
0,0,0,0,0,0,0,0,0,0,-0.000572400680906085,0,-0.0115110070125435,0,0,0.0787290555835302,0,1.86271375694624e-07
0,0,0,0,0,0,0,0,0,0,-0.000213173046450628,0,-0.00645905425460521,0,0,-0.0100359872034011,0,0.0105005826986701
0,0,0,0,0,0,0,0,0,0,-2.20036066761649e-05,0,-0.00344012366012433,0,0,-0.0549169488633975,0,0.129815101705333
0,0,0,0,0,0,0,0,0,0,0,0,-0.0017487011004473,0,0,-0.0704754884453782,0,0.37536447923917
0,0,0,0,0,0,0,0,0,0,0,0,-0.00081710260267843,0,0,-0.0679371048485408,0,0.628753716811058
0,0,0,0.00104189484622119,0,0,0,0,0,0,0,0,-0.000309744993260194,0,0,-0.0561155809498235,0,0.730194437841596
0,0,0,0.0568771489311905,0,0,0,0,0,0,0,0,-7.70896718298918e-05,0,0,-0.0415028431713479,0,0.609406659615692
0,0,0,0.262549022452663,0,0,0,0,0,0,0,0,0,0,0,-0.0280885679472194,0,0.389047099868096
0,0,0,0.537490527808532,0,0,0,0,0,0,0,0,0,0,0,-0.0176348889204791,0,0.191077245498544
0,0,0,0.725924454663777,1.94843868831105e-05,0,0,0,0,0,0,0,0,0,0,-0.0103731484778441,0,0.0561150779449162
0,0,0,0.683293775178771,0.0205342378163734,0,0,0,0,0,0,0,0,0,0,-0.00576126165564106,0,-0.0220672535513174
0,0,0,0.480391409597307,0.169763223773456,0,0,0,0,0,0,0,0,0,0,-0.00304056031595074,0,-0.0597478042231568
0,0,0,0.262769666189977,0.42586232296958,0,0,0,0,0,0,0,0,0,0,-0.00153295959024241,0,-0.0707421595510201
0,0,0,0.101635340729919,0.664756141424203,0,0,0,0,0,0,0,0,0,0,-0.000692423991974162,0,-0.0657080979307473
0,0,0,0.00276388696795843,0.722386226592195,0,0,0,0,0,0,0,0,0,0,-0.000268306274636103,0,-0.0529573089474378
0,0,0,-0.0491222863179454,0.570951170411997,0,0,0,0,0,0,0,0,0,0,-4.75244819223497e-05,0,-0.0384336990061353
0,0,0,-0.0692386769093932,0.347966091851093,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256095422851019
0,0,0,-0.0693558570202038,0.160814064570363,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158664860354035
0,0,0,-0.0587064996426026,0.0376166853537252,0,0.000213827593771552,0,0,0,0,0,0,0,0,0,0,-0.00922591091440083
0,0,0,-0.0442380665384467,-0.0317491421149918,0,0.0357369687089377,0,0,0,0,0,0,0,0,0,0,-0.00507233525680903
0,0,0,-0.0304056388924565,-0.0634847256041067,0,0.21354632585458,0,0,0,0,0,0,0,0,0,0,-0.00265294895991588
0,0,0,-0.0193440605314197,-0.0707382396338662,0,0.476133701563883,0,0,0,0,0,0,0,0,0,0,-0.00132679400558384
0,0,0,-0.0115110070125435,-0.0636919174760177,0,0.693793192666103,0,0,0,1.86271375694624e-07,0,0,0,0,0,0,-0.000572400680906085
0,0,0,-0.00645905425460521,-0.0502314833373832,0,0.706681931658113,0,0,0,0.0105005826986701,0,0,0,0,0,0,-0.000213173046450628
0,0,0,-0.00344012366012433,-0.0358333559617436,0,0.530157165498386,0,0,0,0.129815101705333,0,0,0,0,0,0,-2.20036066761649e-05
0,0,0,-0.0017487011004473,-0.0235335503747665,0,0.308397868900546,0,0,0,0.37536447923917,0,0,0,0,0,0,0
0,0,0,-0.00081710260267843,-0.0143986566200008,0,0.132897935722604,0,0,0,0.628753716811058,0,0,0,0,0,0,0
0,0,0,-0.000309744993260194,-0.00828062526171183,0,0.0210183310628409,0,0,0,0.730194437841596,0,0,0,0.00104189484622119,0,0,0
0,0,0,-7.70896718298918e-05,-0.00450826561865713,0,-0.0401195299389911,0,0,0,0.609406659615692,0,0,0,0.0568771489311905,0,0,0
0,0,0,0,-0.00233735790567103,0,-0.0663690808051815,0,0,0,0.389047099868096,0,0,0,0.262549022452663,0,0,0
0,0,0,0,-0.00115977635323048,0,-0.070237699559252,0,0,0,0.191077245498544,0,0,0,0.537490527808532,0,0,0
0,0,0,0,-0.00047842960779457,0,-0.0614571360441259,1.94843868831105e-05,0,0,0.0561150779449162,0,0,0,0.725924454663777,0,0,0
0,0,0,0,-0.000165323456913167,0,-0.0474798207273446,0.0205342378163734,0,0,-0.0220672535513174,0,0,0,0.683293775178771,0,0,0
0,0,0,0,0,0,-0.0333124587005934,0.169763223773456,0,0,-0.0597478042231568,0,0,0,0.480391409597307,0,0,0
0,0,0,0,0,0,-0.0215722211525314,0.42586232296958,0,0,-0.0707421595510201,0,0,0,0.262769666189977,0,0,0
0,0,0,0,0,0,-0.0130382657723135,0.664756141424203,0,0,-0.0657080979307473,0,0,0,0.101635340729919,0,0,0
0,0,0,0,0,0,-0.00741791659932494,0.722386226592195,0,0.00331800415886477,-0.0529573089474378,0,0,0,0.00276388696795843,0,0,0
0,0,0,0,0,0,-0.00400005319079731,0.570951170411997,0,0.0842557492701981,-0.0384336990061353,0,0,0,-0.0491222863179454,0,0,0
0,0,0,0,0,0,-0.00205613728393934,0.347966091851093,0,0.312644611104686,-0.0256095422851019,0,0,0,-0.0692386769093932,0,0,0
0,0,0,0,0,0,-0.000993423769574783,0.160814064570363,0,0.585612337017311,-0.0158664860354035,0,0,0,-0.0693558570202038,0,0,0
0,0,0,0.000213827593771552,0,0,-0.000396381294418602,0.0376166853537252,0,0.73640838977176,-0.00922591091440083,0,0,0,-0.0587064996426026,0,0,0
0,0,0,0.0357369687089377,0,0,-0.000123848684389055,-0.0317491421149918,0,0.652627109313647,-0.00507233525680903,0,0,0,-0.0442380665384467,0,0,0
0,0,0,0.21354632585458,0,0,0,-0.0634847256041067,0,0.437307523384083,-0.00265294895991588,0,0,0,-0.0304056388924565,0,0,0
0,0,0,0.476133701563883,0,0,0,-0.0707382396338662,0,0.227491146424491,-0.00132679400558384,0,0,0,-0.0193440605314197,0,0,0
0,0,0,0.693793192666103,0,0,0,-0.0636919174760177,1.86271375694624e-07,0.0787290555835302,-0.000572400680906085,0,0,0,-0.0115110070125435,0,0,0
0,0,0,0.706681931658113,0,0,0,-0.0502314833373832,0.0105005826986701,-0.0100359872034011,-0.000213173046450628,0,0,0,-0.00645905425460521,0,0,0
0,0,0,0.530157165498386,0,0,0,-0.0358333559617436,0.129815101705333,-0.0549169488633975,-2.20036066761649e-05,0,0,0,-0.00344012366012433,0,0,0
0,0,0,0.308397868900546,0,0,0,-0.0235335503747665,0.37536447923917,-0.0704754884453782,0,0,0,0,-0.0017487011004473,0,0,0
0,0,0,0.132897935722604,0,0,0,-0.0143986566200008,0.628753716811058,-0.0679371048485408,0,0,0,0,-0.00081710260267843,0,0,0
0,0,0,0.0210183310628409,0,0,0,-0.00828062526171183,0.730194437841596,-0.0561155809498235,0,0,0,0,-0.000309744993260194,0,0,0
0,0,0,-0.0401195299389911,0,0,0,-0.00450826561865713,0.609406659615692,-0.0415028431713479,0,0,0,0,-7.70896718298918e-05,0,0,0
0,0,0,-0.0663690808051815,0,0,0,-0.00233735790567103,0.389047099868096,-0.0280885679472194,0,0,0,0,0,0,0,0
0,0,0,-0.070237699559252,0,0,0,-0.00115977635323048,0.191077245498544,-0.0176348889204791,0,0,0,0,0,0,0,0
0,0,0,-0.0614571360441259,1.94843868831105e-05,0,0,-0.00047842960779457,0.0561150779449162,-0.0103731484778441,0,0,0,0,0,0,0,0
0,0,0,-0.0474798207273446,0.0205342378163734,0,0,-0.000165323456913167,-0.0220672535513174,-0.00576126165564106,0,0,0,0,0,0,0,0
0,0,0,-0.0333124587005934,0.169763223773456,0,0,0,-0.0597478042231568,-0.00304056031595074,0,0,0,0,0,0,0,0
0,0,0,-0.0215722211525314,0.42586232296958,0,0,0,-0.0707421595510201,-0.00153295959024241,0,0,0,0,0,0,0,0
0,0,0,-0.0130382657723135,0.664756141424203,0,0,0,-0.0657080979307473,-0.000692423991974162,0,0,0,0,0,0,0,0
0,0,0,-0.00741791659932494,0.722386226592195,0,0,0,-0.0529573089474378,-0.000268306274636103,0,0,0.00331800415886477,0,0,0,0,0
0,0,0,-0.00400005319079731,0.570951170411997,0,0,0,-0.0384336990061353,-4.75244819223497e-05,0,0,0.0842557492701981,0,0,0,0,0
0,0,0,-0.00205613728393934,0.347966091851093,0,0,0,-0.0256095422851019,0,0,0,0.312644611104686,0,0,0,0,0
0,0,0,-0.000993423769574783,0.160814064570363,0,0,0,-0.0158664860354035,0,0,0,0.585612337017311,0,0,0,0,0
0,0,0,-0.000396381294418602,0.0376166853537252,0,0,0,-0.00922591091440083,0,0,0,0.73640838977176,0,0.000213827593771552,0,0,0
0,0,0,-0.000123848684389055,-0.0317491421149918,0,0,0,-0.00507233525680903,0,0,0,0.652627109313647,0,0.0357369687089377,0,0,0
0,0,0,0,-0.0634847256041067,0,0,0,-0.00265294895991588,0,0,0,0.437307523384083,0,0.21354632585458,0,0,0
0,0,0,0,-0.0707382396338662,0,0,0,-0.00132679400558384,0,0,0,0.227491146424491,0,0.476133701563883,0,0,0
0,0,0,0,-0.0636919174760177,0,0,0,-0.000572400680906085,0,0,0,0.0787290555835302,0,0.693793192666103,0,0,0
0,0,0,0,-0.0502314833373832,0,0,0,-0.000213173046450628,0,0,0,-0.0100359872034011,0,0.706681931658113,0,0,0
0,0,0,0,-0.0358333559617436,0,0,0,-2.20036066761649e-05,0,0,0,-0.0549169488633975,0,0.530157165498386,0,0,0
0,0,0,0,-0.0235335503747665,0,0,0,0,0,0,0,-0.0704754884453782,0,0.308397868900546,0,0,0
0,0,0,0,-0.0143986566200008,0,0,0,0,0,0,0,-0.0679371048485408,0,0.132897935722604,0,0,0
0,0,0,0,-0.00828062526171183,0,0,0,0,0,0,0,-0.0561155809498235,0,0.0210183310628409,0,0,0
0,0,0,0,-0.00450826561865713,0,0,0,0,0,0,0,-0.0415028431713479,0,-0.0401195299389911,0,0,0
0,0,0,0,-0.00233735790567103,0,0,0,0,0,0,0,-0.0280885679472194,0,-0.0663690808051815,0,0,0
0,0,0,0,-0.00115977635323048,0,0,0,0,0,0,0,-0.0176348889204791,0,-0.070237699559252,0,0,0
0,0,0,0,-0.00047842960779457,0,0,0,0,0,0,0,-0.0103731484778441,0,-0.0614571360441259,0,0,0
0,0,0,0,-0.000165323456913167,0,0,0,0,0,0,0,-0.00576126165564106,0,-0.0474798207273446,0,0,0
